time,value
2006-01-01,32.80131505824765
2006-01-02,32.49533959359831
2006-01-03,31.88318444133687
2006-01-04,30.96484959992359
2006-01-05,29.74033505876036
2006-01-06,28.20964083237078
2006-01-07,26.372766905520873
2006-01-08,24.22971329277694
2006-01-09,23.389640857600604
2006-01-10,23.85254959840537
2006-01-11,25.618439511994605
2006-01-12,28.687310609172503
2006-01-13,33.059162878445584
2006-01-14,38.7339963303808
2006-01-15,45.71181095788779
2006-01-16,50.721076446199895
2006-01-17,479.6284711188964
2006-01-18,54.83396002753555
2006-01-19,53.93757810878971
2006-01-20,51.07264706096706
2006-01-21,46.23916687022881
2006-01-22,39.43713754698673
2006-01-23,34.250813253055604
2006-01-24,30.680193981462587
2006-01-25,28.7252797361805
2006-01-26,28.386070517972964
2006-01-27,530.0559133433773
2006-01-28,32.55476715829153
2006-01-29,37.06267301521291
2006-01-30,39.65185909999159
2006-01-31,471.5123372019032
2006-02-01,39.0740719430485
2006-02-02,35.992014612972724
2006-02-03,31.07615341660314
2006-02-04,24.326488357489435
2006-02-05,15.74301943354791
2006-02-06,8.532020527420592
2006-02-07,2.6934916440161665
2006-02-08,-1.7725672206664989
2006-02-09,-4.866156067519633
2006-02-10,-6.587274894472856
2006-02-11,-6.935923704619416
2006-02-12,-5.912102495039438
2006-02-13,-5.190797313974553
2006-02-14,-4.772008151302575
2006-02-15,-4.655735015960769
2006-02-16,-4.84197790435395
2006-02-17,-5.330736816587475
2006-02-18,-6.12201175375391
2006-02-19,-7.215802712784388
2006-02-20,-8.18016456665013
2006-02-21,-9.01509731968888
2006-02-22,-9.720600966719594
2006-02-23,-10.296675510484544
2006-02-24,-10.743320951062735
2006-02-25,-11.060537284078446
2006-02-26,-11.24832451971351
2006-02-27,-11.413470260397336
2006-02-28,-11.555974507986125
2006-03-01,-11.675837267065948
2006-03-02,-11.722368273654038
2006-03-03,-11.695567532093087
2006-03-04,-11.59543504775786
2006-03-05,-11.421970807835887
2006-03-06,-11.166621057750493
2006-03-07,-10.829385789682767
2006-03-08,-10.410265005601445
2006-03-09,-9.909258706629451
2006-03-10,-9.32636689282685
2006-03-11,-8.661589560923368
2006-03-12,-7.914926716202576
2006-03-13,-7.014875029791547
2006-03-14,-5.961434508634127
2006-03-15,-4.754605149781174
2006-03-16,-3.3943869493340557
2006-03-17,-1.8807799105538408
2006-03-18,-0.21378403608304097
2006-03-19,1.6066006768170666
2006-03-20,3.2768692589761237
2006-03-21,4.797021705939187
2006-03-22,6.167058022500459
2006-03-23,7.38697820050519
2006-03-24,8.456782247639241
2006-03-25,9.376470161322208
2006-03-26,10.146041944768342
2006-03-27,11.945952284719068
2006-03-28,14.776201185019044
2006-03-29,18.63678864206686
2006-03-30,23.527714668122776
2006-03-31,29.448979250443028
2006-04-01,36.40058239743472
2006-04-02,44.11387577317819
2006-04-03,50.22127250031258
2006-04-04,54.72277257633745
2006-04-05,57.61837600162629
2006-04-06,58.90808277462706
2006-04-07,549.8595253799595
2006-04-08,56.66980637339205
2006-04-09,53.141823191761844
2006-04-10,49.998933293048836
2006-04-11,47.241136659118055
2006-04-12,44.86843330338345
2006-04-13,42.880823220949
2006-04-14,41.27830641060557
2006-04-15,40.06088287053109
2006-04-16,39.22855260787185
2006-04-17,39.53092033236834
2006-04-18,40.967986057316935
2006-04-19,43.53974977402062
2006-04-20,47.24621148558953
2006-04-21,52.08737119439374
2006-04-22,58.063228896644276
2006-04-23,65.17378459526233
2006-04-24,69.69222323074501
2006-04-25,71.61854480126489
2006-04-26,70.95274930874783
2006-04-27,456.2981807110131
2006-04-28,61.84480713048612
2006-04-29,53.40266044654905
2006-04-30,42.36839669610251
2006-05-01,32.70178897395867
2006-05-02,24.66331375623371
2006-05-03,18.252971035464544
2006-05-04,13.470760813052157
2006-05-05,10.316683092268425
2006-05-06,8.790737868287408
2006-05-07,8.892925143933306
2006-05-08,8.679730266769267
2006-05-09,8.151153230468186
2006-05-10,7.307194037880363
2006-05-11,6.147852694094599
2006-05-12,4.6731291922947165
2006-05-13,2.8830235367623693
2006-05-14,0.7775357223995378
2006-05-15,-1.1406874959351292
2006-05-16,-2.8716461181970168
2006-05-17,-4.415340139969523
2006-05-18,-5.771769574497839
2006-05-19,-6.940934405727489
2006-05-20,-7.922834646993827
2006-05-21,-8.717470289335765
2006-05-22,-9.454744534507789
2006-05-23,-10.134657384466749
2006-05-24,-10.757208839656652
2006-05-25,-11.32239889732211
2006-05-26,-11.830227562444342
2006-05-27,-12.28069482753645
2006-05-28,-12.67380070081511
2006-05-29,-12.976341235530835
2006-05-30,-13.188316427762459
2006-05-31,-13.309726280769972
2006-06-01,-13.340570797068949
2006-06-02,-13.27423959752225
2006-06-03,-13.110732691411794
2006-06-04,-12.850050066299453
2006-06-05,-12.499254806365627
2006-06-06,-12.05834690330553
2006-06-07,-11.527326359001766
2006-06-08,-10.906193172940082
2006-06-09,-10.194947344521683
2006-06-10,-9.39358887318162
2006-06-11,-8.502117765003788
2006-06-12,-7.524602791783909
2006-06-13,-6.461043956550441
2006-06-14,-5.311441258642997
2006-06-15,-4.075794701924515
2006-06-16,-2.7541042807563443
2006-06-17,-1.3463700007315396
2006-06-18,0.1474081446769624
2006-06-19,1.7510769426200916
2006-06-20,3.464636385045516
2006-06-21,5.288086481343004
2006-06-22,7.221427227426199
2006-06-23,9.26465862317044
2006-06-24,11.417780674869926
2006-06-25,13.680793372424262
2006-06-26,15.959397505227551
2006-06-27,18.253593070501477
2006-06-28,20.563380069402136
2006-06-29,22.88875850159533
2006-06-30,25.229728368522522
2006-07-01,27.586289670150897
2006-07-02,29.711661866778933
2006-07-03,31.97098244189315
2006-07-04,34.36425139913829
2006-07-05,36.89146874245438
2006-07-06,39.55263446405694
2006-07-07,42.3477485690199
2006-07-08,45.27681105921566
2006-07-09,48.339821928372544
2006-07-10,50.124888260269
2006-07-11,50.632010056787756
2006-07-12,49.86118730850178
2006-07-13,47.81242002333242
2006-07-14,44.48570819902045
2006-07-15,39.88105183273609
2006-07-16,33.998450926747324
2006-07-17,32.296826307645965
2006-07-18,34.7761779629656
2006-07-19,41.436505901675204
2006-07-20,52.27781012208602
2006-07-21,67.30009062397792
2006-07-22,86.50334741206387
2006-07-23,109.88758048564121
2006-07-24,512.1485441542434
2006-07-25,532.9367731785736
2006-07-26,137.65059995320806
2006-07-27,132.775046525556
2006-07-28,120.83454647980413
2006-07-29,101.82909980254956
2006-07-30,75.75870650056858
2006-07-31,53.97318005852402
2006-08-01,36.47252047638033
2006-08-02,23.481159420425428
2006-08-03,14.999096898300673
2006-08-04,11.026332898589192
2006-08-05,11.562867430018901
2006-08-06,16.608700491068902
2006-08-07,20.172472063616613
2006-08-08,22.254182144763128
2006-08-09,22.853830742467945
2006-08-10,21.971417848737783
2006-08-11,19.606943473067687
2006-08-12,15.760407604936503
2006-08-13,10.43181024862865
2006-08-14,7.125465429844869
2006-08-15,5.841373147766266
2006-08-16,6.579533398743049
2006-08-17,9.339946189183772
2006-08-18,14.122611514225467
2006-08-19,20.927529375391256
2006-08-20,562.0880476685194
2006-08-21,35.930512837994584
2006-08-22,39.45496856097938
2006-08-23,40.32806694872936
2006-08-24,38.549807996740974
2006-08-25,34.12019171181617
2006-08-26,27.039218089394463
2006-08-27,17.30688712675207
2006-08-28,9.32654913339514
2006-08-29,3.0982041106800047
2006-08-30,-1.3781479425168435
2006-08-31,-4.1025070310570015
2006-09-01,-5.07487314896021
2006-09-02,-4.37043711646659
2006-09-03,-1.9891989319422763
2006-09-04,-0.05039233300222534
2006-09-05,1.4459826744898194
2006-09-06,2.4999260979049964
2006-09-07,3.111437931549254
2006-09-08,3.2805181737329363
2006-09-09,3.007166831287421
2006-09-10,2.291383899170743
2006-09-11,1.6813327884736573
2006-09-12,1.1770135090405205
2006-09-13,0.7784260517598192
2006-09-14,0.4855704203935858
2006-09-15,0.2984466158319705
2006-09-16,0.217054632840739
2006-09-17,0.24139447973533734
2006-09-18,0.22952581105766967
2006-09-19,0.18144862635285008
2006-09-20,0.09716293004289867
2006-09-21,-0.023331279127916105
2006-09-22,-0.180034002187341
2006-09-23,-0.37294524064674306
2006-09-24,-0.6020649904253972
2006-09-25,-0.8300527694166924
2006-09-26,-1.056908582036236
2006-09-27,-1.2826324248479182
2006-09-28,-1.5072242997033989
2006-09-29,-1.7306842064427812
2006-09-30,-1.9530121456908418
2006-10-01,-2.1742081134097155
2006-10-02,-2.3649204036042555
2006-10-03,-2.525149005952553
2006-10-04,-2.654893926591665
2006-10-05,-2.7541551653550442
2006-10-06,-2.8229327181204127
2006-10-07,-2.8612265892788535
2006-10-08,-2.8690367778258654
2006-10-09,-2.833836023501746
2006-10-10,-2.7556243242379317
2006-10-11,-2.634401679182826
2006-10-12,-2.4701680886806585
2006-10-13,-2.262923554806516
2006-10-14,-2.012668072950426
2006-10-15,-1.7194016500296136
2006-10-16,-1.4227100853815955
2006-10-17,-1.122593378269734
2006-10-18,-0.819051534868354
2006-10-19,-0.512084546321617
2006-10-20,-0.2016924181504045
2006-10-21,0.1121248481796897
2006-10-22,0.42936725820880994
2006-10-23,0.9007989881934577
2006-10-24,1.5264200382447157
2006-10-25,2.3062304106673217
2006-10-26,3.2402301044095445
2006-10-27,4.328419118507163
2006-10-28,5.5707974551393775
2006-10-29,6.96736511324702
2006-10-30,7.935805650666312
2006-10-31,8.476119075507793
2006-11-01,8.58830538144316
2006-11-02,8.18222713209062
2006-11-03,7.257884325279388
2006-11-04,5.815276962616846
2006-11-05,3.8544050430027905
2006-11-06,3.6265596967547733
2006-11-07,5.131740924042511
2006-11-08,8.369948723717203
2006-11-09,13.341183095204094
2006-11-10,20.04544404343001
2006-11-11,28.48273156630354
2006-11-12,38.65304566462243
2006-11-13,45.925518180603206
2006-11-14,50.300149119777096
2006-11-15,51.77693847765776
2006-11-16,50.355886254976525
2006-11-17,467.02394841578104
2006-11-18,38.82025708036929
2006-11-19,28.705680121258133
2006-11-20,20.324127630571773
2006-11-21,13.675599605837755
2006-11-22,8.760096047028338
2006-11-23,5.577616955506539
2006-11-24,4.128162326627072
2006-11-25,4.411732165719819
2006-11-26,6.428326464973608
2006-11-27,7.92666490809979
2006-11-28,8.906747489730803
2006-11-29,9.36857420893913
2006-11-30,9.312145067296907
2006-12-01,8.737460064638768
2006-12-02,7.734968801060347
2006-12-03,6.3046712747893565
2006-12-04,5.028841467635463
2006-12-05,3.9074793779768804
2006-12-06,2.940585008566341
2006-12-07,2.1281583607868804
2006-12-08,1.4701994278590966
2006-12-09,0.9667082162169791
2006-12-10,0.6176847200831048
2006-12-11,0.2725290937371554
2006-12-12,-0.06875866543246545
2006-12-13,-0.4061785602679606
2006-12-14,-0.7397305906895824
2006-12-15,-1.069414749987228
2006-12-16,-1.39523104543024
2006-12-17,-1.7171794759460788
2006-12-18,-1.9963096289623223
2006-12-19,-2.2326215086929757
2006-12-20,-2.4261151123648013
2006-12-21,-2.576790434005069
2006-12-22,-2.684647482995871
2006-12-23,-2.7496862590855926
2006-12-24,-2.771906754212768
2006-12-25,-2.7613795665943996
2006-12-26,-2.7181046881647077
2006-12-27,-2.6420821250898143
2006-12-28,-2.5333118788706344
2006-12-29,-2.391793947186997
2006-12-30,-2.2175283219657693
2006-12-31,-2.0105150168801167
2007-01-01,-1.7681632509779703
2007-01-02,-1.5371779111874702
2007-01-03,-1.3175589873071658
2007-01-04,-1.1093064898719618
2007-01-05,-0.9124204157159816
2007-01-06,-0.726900764897934
2007-01-07,-0.5527475349432116
2007-01-08,-0.3905770810701945
2007-01-09,-0.2403893990246928
2007-01-10,-0.10218449536429475
2007-01-11,0.024037632495407024
2007-01-12,0.13827698785458864
2007-01-13,0.24053356722950525
2007-01-14,0.3308073713969186
2007-01-15,0.40905007892870415
2007-01-16,0.475261687911253
2007-01-17,0.5294422027515715
2007-01-18,0.5715916194419854
2007-01-19,0.601709936136249
2007-01-20,0.6197971610896609
2007-01-21,0.6258532897949856
2007-01-22,0.6206939991350886
2007-01-23,0.6043192961776427
2007-01-24,0.5767291746787393
2007-01-25,0.5379236410789687
2007-01-26,0.48790269144794607
2007-01-27,0.42666632399865634
2007-01-28,0.35421454122379004
2007-01-29,0.2672309814403988
2007-01-30,0.1657156389083987
2007-01-31,0.04966851485958301
2007-02-01,-0.08091038933575234
2007-02-02,-0.2028675845312442
2007-02-03,-0.31620305996850817
2007-02-04,-0.42091682755546955
2007-02-05,-0.5041445553802326
2007-02-06,-0.5658862426147273
2007-02-07,-0.6061418888370191
2007-02-08,-0.6249114962215749
2007-02-09,-0.6221950617398875
2007-02-10,-0.5979925916316517
2007-02-11,-0.5523040786194429
2007-02-12,-0.5348785105760427
2007-02-13,-0.5457158899214285
2007-02-14,-0.5848162138266595
2007-02-15,-0.6521794867514856
2007-02-16,-0.7478057049556632
2007-02-17,-0.8716948659915502
2007-02-18,-1.0238469777598311
2007-02-19,-1.011911794523737
2007-02-20,-0.8358893132173293
2007-02-21,-0.4957795401992584
2007-02-22,0.008417532252355642
2007-02-23,0.6767018906671396
2007-02-24,1.509073549124114
2007-02-25,2.505532503770933
2007-02-26,2.9223829936409835
2007-02-27,2.759625021075877
2007-02-28,2.0172585887454026
2007-03-01,0.6952836903062156
2007-03-02,-1.1840875561868813
2007-03-03,-3.6208551679978136
2007-03-04,-6.615019134366042
2007-03-05,-7.2911847029292645
2007-03-06,-5.649351870540375
2007-03-07,-1.6895206387942139
2007-03-08,4.588308991613168
2007-03-09,13.184137016194924
2007-03-10,24.09796344780933
2007-03-11,37.329788282195146
2007-03-12,390.1135538197899
2007-03-13,52.99846268231311
2007-03-14,55.43531225373763
2007-03-15,54.27383673661825
2007-03-16,49.51403613579632
2007-03-17,41.15591044695541
2007-03-18,29.19945967247402
2007-03-19,19.571171056549854
2007-03-20,12.271044600643592
2007-03-21,7.299080301906011
2007-03-22,4.655278162757384
2007-03-23,4.3396381825113295
2007-03-24,6.352160358861739
2007-03-25,10.692844692861197
2007-03-26,14.43420717031649
2007-03-27,17.576247789046278
2007-03-28,20.11896655440789
2007-03-29,22.06236346614726
2007-03-30,23.406438518566492
2007-03-31,24.151191714403016
2007-04-01,24.296623057638076
2007-04-02,24.67871297295971
2007-04-03,25.297461462072405
2007-04-04,26.152868520903613
2007-04-05,27.24493415433708
2007-04-06,28.573658359946734
2007-04-07,30.139041144608097
2007-04-08,31.941082495039787
2007-04-09,32.99511565151756
2007-04-10,33.30114061157647
2007-04-11,32.859157372428456
2007-04-12,31.669165939556002
2007-04-13,29.731166307857947
2007-04-14,27.04515847639039
2007-04-15,23.611142453849034
2007-04-16,22.542468463869078
2007-04-17,23.839136521892524
2007-04-18,27.50114661808178
2007-04-19,33.52849875050187
2007-04-20,41.92119293032664
2007-04-21,52.6792291495021
2007-04-22,65.80260740982416
2007-04-23,391.60333021136034
2007-04-24,82.52803830761182
2007-04-25,86.13009094377952
2007-04-26,86.55836837199828
2007-04-27,83.8128705935398
2007-04-28,77.89359760641287
2007-04-29,579.8405633899554
2007-04-30,60.28243175357693
2007-05-01,52.33924462417042
2007-05-02,45.0942475358884
2007-05-03,38.54744049331268
2007-05-04,32.69882348906822
2007-05-05,27.54839652919649
2007-05-06,23.09615960805674
2007-05-07,19.46551255076002
2007-05-08,16.656455357231486
2007-05-09,14.668988023001411
2007-05-10,13.503110550318963
2007-05-11,13.158822940022322
2007-05-12,13.636125194027523
2007-05-13,14.935017308710478
2007-05-14,15.38764697178733
2007-05-15,14.994014187673697
2007-05-16,13.754118953042685
2007-05-17,11.667961268635631
2007-05-18,8.735541134748036
2007-05-19,4.956858551406658
2007-05-20,0.3319135157035138
2007-05-21,-1.3523574708045416
2007-05-22,-0.09595441137108551
2007-05-23,4.101122698569945
2007-05-24,11.238873857603323
2007-05-25,21.317299065362214
2007-05-26,34.33639832213375
2007-05-27,50.2961716324906
2007-05-28,61.74017598229804
2007-05-29,326.8500851061754
2007-05-30,71.08087781244045
2007-05-31,68.97757529296446
2007-06-01,62.35850381857007
2007-06-02,51.151972350945904
2007-06-03,35.35798089398201
2007-06-04,22.45696712554612
2007-06-05,12.448931039917113
2007-06-06,5.333872650271184
2007-06-07,1.111791936875786
2007-06-08,-0.2173110883513143
2007-06-09,1.346563572044344
2007-06-10,5.803415919639784
2007-06-11,9.243336770721148
2007-06-12,11.666326130615676
2007-06-13,13.072383989078842
2007-06-14,13.46151035641447
2007-06-15,12.833705232260558
2007-06-16,11.188968607393983
2007-06-17,8.527300491976979
2007-06-18,6.999820835796818
2007-06-19,6.606529635901502
2007-06-20,7.347426900881706
2007-06-21,9.222512620845633
2007-06-22,12.231786801334657
2007-06-23,16.37524944536938
2007-06-24,21.652900545583424
2007-06-25,25.311553951769046
2007-06-26,27.351209664669682
2007-06-27,27.77186768218855
2007-06-28,26.57352800943567
2007-06-29,23.756190640204764
2007-06-30,551.6532034687461
2007-07-01,13.264522816308695
2007-07-02,8.21796152726099
2007-07-03,4.180171707469057
2007-07-04,1.151153354876854
2007-07-05,-0.8690935334922791
2007-07-06,-1.8805689543521105
2007-07-07,-1.8832729066452991
2007-07-08,-0.8772053916624039
2007-07-09,-0.10002347360337893
2007-07-10,0.44827284605838713
2007-07-11,0.7676835679097174
2007-07-12,0.8582086946841265
2007-07-13,0.7198482202367522
2007-07-14,0.3526021541332547
2007-07-15,-0.2435295173611962
2007-07-16,-0.7484353596939322
2007-07-17,-1.1621153776165833
2007-07-18,-1.4845695736130011
2007-07-19,-1.715797947108829
2007-07-20,-1.8558004982862926
2007-07-21,-1.9045772226525557
2007-07-22,-1.8621281215939582
2007-07-23,-1.8112557518147092
2007-07-24,-1.7519601068938826
2007-07-25,-1.684241183074338
2007-07-26,-1.608098988107514
2007-07-27,-1.5235335127990375
2007-07-28,-1.4305447668900477
2007-07-29,-1.3291327439352294
2007-07-30,-1.1978483543034564
2007-07-31,-1.036691594755446
2007-08-01,-0.8456624715158263
2007-08-02,-0.6639137445388741
2007-08-03,-0.4914454215294448
2007-08-04,-0.32825749378071123
2007-08-05,-0.1743499670307429
2007-08-06,-0.03539779966969547
2007-08-07,0.0885990123923932
2007-08-08,0.19764046839194904
2007-08-09,0.29172656764070126
2007-08-10,0.3708573102385735
2007-08-11,0.4350326956953552
2007-08-12,0.4842527249988713
2007-08-13,0.520477500529438
2007-08-14,0.5437070274407034
2007-08-15,0.553941299407164
2007-08-16,0.5511803206753321
2007-08-17,0.5354240883566632
2007-08-18,0.5066726037626914
2007-08-19,0.4649258660938891
2007-08-20,0.4077734053924402
2007-08-21,0.3352152163800568
2007-08-22,0.2472513070238449
2007-08-23,0.1438816710596562
2007-08-24,0.025106312293797117
2007-08-25,-0.10907477301634216
2007-08-26,-0.25866158371513137
2007-08-27,-0.41567102423012514
2007-08-28,-0.5801030933737117
2007-08-29,-0.7519577981420795
2007-08-30,-0.9312351304829605
2007-08-31,-1.117935099656325
2007-09-01,-1.3120576978327883
2007-09-02,-1.4736716634832305
2007-09-03,-1.6332967940973795
2007-09-04,-1.7909330809476138
2007-09-05,-1.9465805240231795
2007-09-06,-2.100239126632502
2007-09-07,-2.2519088897266855
2007-09-08,-2.4015898076356095
2007-09-09,-2.549281887314688
2007-09-10,-2.5770740951308113
2007-09-11,-2.4849664344312004
2007-09-12,-2.2729589015269873
2007-09-13,-1.9410514979307862
2007-09-14,-1.4892442269563695
2007-09-15,-0.917537085062829
2007-09-16,-0.22593007089514572
2007-09-17,0.12971360407754773
2007-09-18,0.14939394626425795
2007-09-19,-0.16688904921183934
2007-09-20,-0.8191353806039174
2007-09-21,-1.8073450493316372
2007-09-22,-3.131518051120487
2007-09-23,-4.791654392970589
2007-09-24,-5.02522937100218
2007-09-25,-3.832242986539054
2007-09-26,-1.2126952437847613
2007-09-27,2.833413871008343
2007-09-28,8.306084341299513
2007-09-29,15.20531617976076
2007-09-30,23.531109379373373
2007-10-01,420.92297412334233
2007-10-02,33.52006125877869
2007-10-03,35.11740289003811
2007-10-04,34.44998831419011
2007-10-05,31.51781753574538
2007-10-06,26.320890554901396
2007-10-07,18.859207367378666
2007-10-08,12.758280982996608
2007-10-09,8.018111399618608
2007-10-10,4.638698621477866
2007-10-11,2.620042644881204
2007-10-12,1.9621434675450224
2007-10-13,2.6650010925739185
2007-10-14,4.728615519714239
2007-10-15,6.390398082202063
2007-10-16,7.650348780092017
2007-10-17,8.508467615828792
2007-10-18,8.96475459273398
2007-10-19,9.019209703754907
2007-10-20,8.671832951994617
2007-10-21,7.922624338004182
2007-10-22,7.227698441202406
2007-10-23,6.587055269894476
2007-10-24,6.000694819960902
2007-10-25,5.468617086749578
2007-10-26,4.990822075996249
2007-10-27,4.567309780977759
2007-10-28,4.198080210125795
2007-10-29,3.764249369468761
2007-10-30,3.2658172515355766
2007-10-31,2.702783858534943
2007-11-01,2.0751491989645565
2007-11-02,1.4730435794459318
2007-11-03,0.8964670088293971
2007-11-04,0.3454194802568651
2007-11-05,-0.14581711903859684
2007-11-06,-0.57724278071138
2007-11-07,-0.9488575143507063
2007-11-08,-1.2606613148995542
2007-11-09,-1.51265418116256
2007-11-10,-1.7048361163102008
2007-11-11,-1.8372071212982597
2007-11-12,-1.932295986994319
2007-11-13,-1.9901027178121922
2007-11-14,-2.010627308320373
2007-11-15,-1.9938697633298403
2007-11-16,-1.9398300839862408
2007-11-17,-1.8485082655563438
2007-11-18,-1.7199043061893988
2007-11-19,-1.4953688242215435
2007-11-20,-1.17490180872786
2007-11-21,-0.7585032651245491
2007-11-22,-0.24617319384470093
2007-11-23,0.36208840746452253
2007-11-24,1.066281538284528
2007-11-25,1.866406198708063
2007-11-26,2.543062441026887
2007-11-27,3.0962502659005082
2007-11-28,3.5259696727612315
2007-11-29,3.8322206612309557
2007-11-30,4.0150032316595805
2007-12-01,4.074317386663516
2007-12-02,3.9257412221375194
2007-12-03,4.415650121579342
2007-12-04,5.544044093849664
2007-12-05,7.310923135342058
2007-12-06,9.71628724471035
2007-12-07,12.760136423245983
2007-12-08,16.442470672592464
2007-12-09,20.763289990414215
2007-12-10,23.981946169102486
2007-12-11,26.098439202458863
2007-12-12,476.9344480597484
2007-12-13,27.024935839298358
2007-12-14,25.834939449159663
2007-12-15,23.542779909987296
2007-12-16,20.148457231208376
2007-12-17,17.392018921865194
2007-12-18,15.27346498820627
2007-12-19,13.792795426595038
2007-12-20,12.950010232583878
2007-12-21,12.745109413205192
2007-12-22,13.17809296788095
2007-12-23,14.248960894444174
2007-12-24,15.114416377887991
2007-12-25,15.774459417338548
2007-12-26,16.229090016835013
2007-12-27,16.478308179928746
2007-12-28,16.522113899358747
2007-12-29,16.360507176918595
2007-12-30,15.993488014943607
2007-12-31,15.62835792878866
2008-01-01,15.265116918995178
2008-01-02,14.923447155322211
2008-01-03,14.603348636514607
2008-01-04,14.30482136548531
2008-01-05,14.027865341389006
2008-01-06,13.772480566911444
2008-01-07,13.526845094546713
2008-01-08,13.290958932091952
2008-01-09,13.064822073000594
2008-01-10,12.84843452151612
2008-01-11,12.641796279703856
2008-01-12,12.444907345467454
2008-01-13,12.257767711417296
2008-01-14,11.921841378625375
2008-01-15,11.437128338711766
2008-01-16,10.803628591029007
2008-01-17,10.021342137253864
2008-01-18,9.090268979063639
2008-01-19,8.010409114829123
2008-01-20,6.78176254540254
2008-01-21,6.070112257870434
2008-01-22,5.875458254978922
2008-01-23,6.197800540103811
2008-01-24,7.037139108220805
2008-01-25,8.393473961930903
2008-01-26,10.266805100505525
2008-01-27,12.657132525260845
2008-01-28,14.188134526477185
2008-01-29,14.859811108474997
2008-01-30,436.989951593695
2008-01-31,13.62518799992877
2008-02-01,11.718888314863982
2008-02-02,9.012557551036167
2008-02-03,5.50619570925933
2008-02-04,2.5768554811045234
2008-02-05,0.22453686526878514
2008-02-06,-1.5507601378075577
2008-02-07,-2.749035526913648
2008-02-08,-3.37028930590575
2008-02-09,-3.4145214717431003
2008-02-10,-2.8817320215871547
2008-02-11,-2.4414502440418318
2008-02-12,-2.0936761334908383
2008-02-13,-1.8384096942049872
2008-02-14,-1.6756509242861526
2008-02-15,-1.605399823836052
