time,value,n
2006-01-01,24.446759259259288,432
2006-02-01,22.43865740740741,864
2006-03-01,16.45549132947974,865
2006-04-01,13.578521939953829,866
2006-05-01,23.09457900807383,867
2006-06-01,21.86635944700459,868
2006-07-01,14.063291139240496,869
2006-08-01,22.794252873563227,870
2006-09-01,27.8805970149254,871
2006-10-01,22.65022935779818,872
2006-11-01,23.36769759450173,873
2006-12-01,15.513729977116702,874
2007-01-01,18.843428571428554,875
2007-02-01,21.986285714285714,875
2007-03-01,27.02057142857144,875
2007-04-01,23.704,875
2007-05-01,20.484571428571428,875
2007-06-01,13.40571428571428,875
2007-07-01,18.653714285714308,875
2007-08-01,20.994285714285684,875
2007-09-01,26.29828571428569,875
2007-10-01,22.222857142857112,875
2007-11-01,21.484571428571407,875
2007-12-01,16.567999999999984,875
2008-01-01,20.089142857142853,875
2008-02-01,24.3622857142857,875
2008-03-01,19.43085714285717,875
2008-04-01,19.3268571428571,875
2008-05-01,19.96799999999996,875
2008-06-01,22.481142857142842,875
2008-07-01,17.890285714285707,875
2008-08-01,24.10628571428571,875
2008-09-01,20.092571428571418,875
2008-10-01,24.620571428571438,875
2008-11-01,29.473142857142864,875
2008-12-01,18.76457142857139,875
2009-01-01,32.56228571428577,875
2009-02-01,35.74628571428573,875
2009-03-01,39.09599999999997,875
2009-04-01,38.937142857142824,875
2009-05-01,35.84571428571428,875
2009-06-01,35.32457142857137,875
2009-07-01,29.233142857142862,875
2009-08-01,34.553142857142866,875
2009-09-01,38.3748571428572,875
2009-10-01,41.79085714285715,875
2009-11-01,38.55885714285706,875
2009-12-01,30.947428571428567,875
2010-01-01,40.1657142857143,875
2010-02-01,36.66285714285715,875
2010-03-01,38.8982857142857,875
2010-04-01,32.93257142857142,875
2010-05-01,28.954285714285707,875
2010-06-01,38.52457142857145,875
2010-07-01,33.40114285714287,875
2010-08-01,31.410285714285685,875
2010-09-01,34.82285714285713,875
2010-10-01,29.68685714285714,875
2010-11-01,33.82514285714292,875
2010-12-01,25.289142857142842,875
2011-01-01,29.48342857142858,875
2011-02-01,28.51657142857141,875
2011-03-01,29.497142857142858,875
2011-04-01,28.522285714285676,875
2011-05-01,29.122285714285713,875
2011-06-01,29.71542857142858,875
2011-07-01,29.452571428571442,875
2011-08-01,37.15314285714277,875
2011-09-01,41.24457142857145,875
2011-10-01,36.106285714285676,875
2011-11-01,41.39200000000001,875
2011-12-01,33.43199999999996,875
2012-01-01,41.19542857142866,875
2012-02-01,38.56914285714285,875
2012-03-01,35.35314285714286,875
2012-04-01,30.547428571428554,875
2012-05-01,28.947428571428546,875
2012-06-01,30.72571428571431,875
2012-07-01,33.88228571428571,875
2012-08-01,33.75199999999996,875
2012-09-01,34.64342857142857,875
2012-10-01,32.55999999999998,875
2012-11-01,35.95885714285712,875
2012-12-01,29.35885714285716,875
2013-01-01,36.33371428571433,875
2013-02-01,35.48457142857144,875
2013-03-01,32.373714285714364,875
2013-04-01,31.744000000000003,875
2013-05-01,29.430857142857143,875
2013-06-01,32.57142857142854,875
2013-07-01,34.4114285714286,875
2013-08-01,32.61942857142849,875
2013-09-01,41.93257142857147,875
2013-10-01,39.807999999999986,875
2013-11-01,34.59657142857145,875
2013-12-01,27.902857142857133,875
2014-01-01,36.796571428571404,875
2014-02-01,37.052571428571426,875
2014-03-01,38.71085714285708,875
2014-04-01,31.83771428571427,875
2014-05-01,32.82628571428574,875
2014-06-01,33.06971428571434,875
2014-07-01,38.80800000000001,875
2014-08-01,36.03657142857141,875
2014-09-01,50.15200000000002,875
2014-10-01,34.24342857142856,875
2014-11-01,34.49714285714283,875
2014-12-01,31.449142857142878,875
2015-01-01,40.49142857142856,875
2015-02-01,41.02171428571429,875
2015-03-01,35.274285714285746,875
2015-04-01,37.87428571428568,875
2015-05-01,33.26742857142858,875
2015-06-01,34.91085714285714,875
2015-07-01,39.22628571428571,875
2015-08-01,38.79199999999998,875
2015-09-01,40.81257142857141,875
2015-10-01,36.90400000000002,875
2015-11-01,34.18514285714281,875
2015-12-01,26.617142857142905,875
2016-01-01,37.07885714285714,875
2016-02-01,38.62400000000001,875
2016-03-01,40.17371428571426,875
2016-04-01,41.29257142857146,875
2016-05-01,33.00457142857142,875
2016-06-01,33.30285714285712,875
2016-07-01,32.316571428571464,875
2016-08-01,30.535999999999987,875
2016-09-01,34.018285714285774,875
2016-10-01,32.243428571428574,875
2016-11-01,46.1245714285714,875
2016-12-01,31.755428571428514,875
2017-01-01,35.61257142857142,875
2017-02-01,36.66514285714287,875
2017-03-01,35.98285714285714,875
2017-04-01,29.492571428571438,875
2017-05-01,33.28457142857144,875
2017-06-01,35.978285714285754,875
2017-07-01,36.171428571428514,875
2017-08-01,30.142857142857142,875
2017-09-01,38.18285714285712,875
2017-10-01,37.404571428571394,875
2017-11-01,37.30742857142856,875
2017-12-01,39.41600000000003,875
2018-01-01,54.11657142857144,875
2018-02-01,35.764571428571486,875
2018-03-01,38.60914285714279,875
2018-04-01,37.5211428571429,875
2018-05-01,36.204571428571455,875
2018-06-01,37.27885714285713,875
2018-07-01,34.1542857142857,875
2018-08-01,33.469714285714296,875
2018-09-01,39.83657142857143,875
2018-10-01,35.483428571428604,875
2018-11-01,43.445714285714246,875
2018-12-01,32.66057142857145,875
2019-01-01,43.421714285714245,875
2019-02-01,42.36457142857142,875
2019-03-01,36.34857142857139,875
2019-04-01,33.26742857142855,875
2019-05-01,30.604571428571422,875
2019-06-01,30.846857142857125,875
2019-07-01,33.546285714285716,875
2019-08-01,26.62057142857142,875
