time,value
2014-01-01,41.20409433803107
2014-01-02,-21.171305621771715
2014-01-03,-21.137734006110552
2014-01-04,-21.087272404528843
2014-01-05,34.361814526669306
2014-01-06,-20.73103060142593
2014-01-07,-20.220601755156277
2014-01-08,-19.48863427728682
2014-01-09,-18.53512817046752
2014-01-10,-17.36008343248273
2014-01-11,-15.96350006419826
2014-01-12,-14.345378065284272
2014-01-13,-13.120118244699466
2014-01-14,31.877460745938112
2014-01-15,33.71906545689332
2014-01-16,34.116256051538556
2014-01-17,36.57420565254333
2014-01-18,43.897052759512405
2014-01-19,-14.018665089934883
2014-01-20,-14.792716443772788
2014-01-21,28.60575814545808
2014-01-22,-15.267233441158666
2014-01-23,-14.967699088237811
2014-01-24,-14.310302831090645
2014-01-25,-13.295044672236292
2014-01-26,40.30515492427759
2014-01-27,32.196227737222586
2014-01-28,-10.281475875701194
2014-01-29,-10.014147202842423
2014-01-30,-10.115415658385452
2014-01-31,-10.585281244254823
2014-02-01,-11.423743958908336
2014-02-02,-12.6768250920956
2014-02-03,28.095374126045453
2014-02-04,-13.891309487563312
2014-02-05,29.845112184425297
2014-02-06,-13.38355672210753
2014-02-07,-12.483841404901735
2014-02-08,45.39655958824736
2014-02-09,-9.392732899917927
2014-02-10,-7.855167985834278
2014-02-11,-6.540872058010309
2014-02-12,-5.449845114123097
2014-02-13,40.28412882050978
2014-02-14,-3.937598179217974
2014-02-15,-3.516378187285852
2014-02-16,-3.3184271803142584
2014-02-17,-3.2847371219915438
2014-02-18,32.68797515545138
2014-02-19,-3.7101398513868897
2014-02-20,-4.169232641275073
2014-02-21,-4.792586377066765
2014-02-22,-5.580201063862613
2014-02-23,-6.532076699198004
2014-02-24,-7.299034465063024
2014-02-25,-7.881074362336533
2014-02-26,-8.2781963891739
2014-02-27,-8.490400546530942
2014-02-28,-8.517686835166693
2014-03-01,-8.36005525436909
2014-03-02,-7.979259987919498
2014-03-03,-7.581397877588797
2014-03-04,-7.166468923841011
2014-03-05,-6.734473126019752
2014-03-06,-6.285410484829134
2014-03-07,30.634519480173875
2014-03-08,-5.336084671677604
2014-03-09,-4.835821498206843
2014-03-10,-4.608348064718189
2014-03-11,28.8557906867045
2014-03-12,-4.971770413785665
2014-03-13,-5.562666196514532
2014-03-14,-6.426351717959205
2014-03-15,33.798215874675684
2014-03-16,-8.972091976954777
2014-03-17,-9.992727522719797
2014-03-18,-10.624733616664708
2014-03-19,-10.868110255305501
2014-03-20,-10.722857441016561
2014-03-21,-10.188975174183323
2014-03-22,32.561935815162
2014-03-23,-7.955322278712292
2014-03-24,21.440161299585604
2014-03-25,-5.905202294873959
2014-03-26,-5.166223486000339
2014-03-27,-4.617965463454013
2014-03-28,30.44078568896381
2014-03-29,-4.093611783137224
2014-03-30,-4.1175161249982
2014-03-31,-4.2590341622298995
2014-04-01,24.424549319748735
2014-04-02,-4.904961583095717
2014-04-03,-5.419421222787527
2014-04-04,27.788412774071652
2014-04-05,-6.831332359309025
2014-04-06,-7.728783856876361
2014-04-07,-8.577583318607752
2014-04-08,-9.37773074243301
2014-04-09,-10.129226129960266
2014-04-10,-10.832069482006142
2014-04-11,23.164879219137003
2014-04-12,-12.091800075690072
2014-04-13,-12.648687318089667
2014-04-14,-13.09482305277017
2014-04-15,-13.430207278846543
