time,value,n
2006-01-01,39.97830374753447,507
2006-02-01,40.29585798816566,1014
2006-03-01,46.08472906403945,1015
2006-04-01,41.367125984251985,1016
2006-05-01,44.667649950835795,1017
2006-06-01,34.9980353634577,1018
2006-07-01,35.013738959764474,1019
2006-08-01,44.36274509803925,1020
2006-09-01,43.80117531831539,1021
2006-10-01,46.01369863013698,1022
2006-11-01,44.205278592375365,1023
2006-12-01,49.977539062499964,1024
2007-01-01,35.05268292682924,1025
2007-02-01,29.895609756097546,1025
2007-03-01,39.10634146341466,1025
2007-04-01,32.543414634146316,1025
2007-05-01,38.57756097560972,1025
2007-06-01,32.754146341463425,1025
2007-07-01,37.459512195121945,1025
2007-08-01,44.50634146341461,1025
2007-09-01,40.34829268292683,1025
2007-10-01,41.132682926829226,1025
2007-11-01,47.70731707317075,1025
2007-12-01,43.017560975609754,1025
2008-01-01,34.85658536585368,1025
2008-02-01,40.05463414634148,1025
2008-03-01,48.357073170731695,1025
2008-04-01,36.747317073170606,1025
2008-05-01,40.212682926829295,1025
2008-06-01,38.05853658536583,1025
2008-07-01,42.91707317073169,1025
2008-08-01,48.88878048780486,1025
2008-09-01,40.27121951219507,1025
2008-10-01,45.721951219512185,1025
2008-11-01,41.453658536585316,1025
2008-12-01,52.76097560975611,1025
2009-01-01,35.100487804878064,1025
2009-02-01,35.7892682926829,1025
2009-03-01,37.166829268292645,1025
2009-04-01,41.58634146341464,1025
2009-05-01,39.63804878048778,1025
2009-06-01,40.55512195121953,1025
2009-07-01,42.354146341463434,1025
2009-08-01,50.92682926829266,1025
2009-09-01,46.0780487804878,1025
2009-10-01,51.47804878048782,1025
2009-11-01,43.0741463414634,1025
2009-12-01,56.23121951219512,1025
2010-01-01,43.50341463414632,1025
2010-02-01,46.14146341463413,1025
2010-03-01,47.18146341463419,1025
2010-04-01,45.118048780487804,1025
2010-05-01,44.89560975609759,1025
2010-06-01,39.04292682926818,1025
2010-07-01,44.81560975609755,1025
2010-08-01,46.79024390243902,1025
2010-09-01,46.20682926829267,1025
2010-10-01,45.61853658536583,1025
2010-11-01,45.87219512195121,1025
2010-12-01,53.30146341463417,1025
2011-01-01,42.38536585365851,1025
2011-02-01,41.36000000000002,1025
2011-03-01,42.608780487804864,1025
2011-04-01,43.79414634146344,1025
2011-05-01,42.96878048780488,1025
2011-06-01,43.31121951219514,1025
2011-07-01,46.95512195121951,1025
2011-08-01,45.536585365853675,1025
2011-09-01,45.42634146341466,1025
2011-10-01,54.27707317073169,1025
2011-11-01,51.05658536585363,1025
2011-12-01,62.421463414634154,1025
2012-01-01,42.38243902439023,1025
2012-02-01,43.13560975609753,1025
2012-03-01,44.94341463414636,1025
2012-04-01,50.030243902439054,1025
2012-05-01,49.34634146341465,1025
2012-06-01,61.343414634146356,1025
2012-07-01,73.3356097560975,1025
2012-08-01,76.45073170731706,1025
2012-09-01,66.31707317073167,1025
2012-10-01,76.10439024390239,1025
2012-11-01,70.81951219512194,1025
2012-12-01,73.71121951219507,1025
2013-01-01,54.57560975609757,1025
2013-02-01,62.83804878048776,1025
2013-03-01,62.47219512195123,1025
2013-04-01,62.90243902439026,1025
2013-05-01,72.91121951219506,1025
2013-06-01,67.1317073170732,1025
2013-07-01,76.73073170731713,1025
2013-08-01,81.81268292682928,1025
2013-09-01,69.70439024390242,1025
2013-10-01,70.69170731707317,1025
2013-11-01,71.0399999999999,1025
2013-12-01,87.21951219512201,1025
2014-01-01,60.0273170731707,1025
2014-02-01,60.75512195121952,1025
2014-03-01,61.853658536585385,1025
2014-04-01,61.3970731707317,1025
2014-05-01,61.82536585365854,1025
2014-06-01,62.948292682926834,1025
2014-07-01,70.27414634146345,1025
2014-08-01,76.94536585365854,1025
2014-09-01,67.04390243902442,1025
2014-10-01,72.80195121951222,1025
2014-11-01,63.50243902439027,1025
2014-12-01,85.33658536585364,1025
2015-01-01,60.019512195122005,1025
2015-02-01,61.760975609756095,1025
2015-03-01,76.28292682926838,1025
2015-04-01,74.96487804878063,1025
2015-05-01,64.82243902439026,1025
2015-06-01,64.15902439024381,1025
2015-07-01,69.13658536585366,1025
2015-08-01,74.64487804878046,1025
2015-09-01,74.68585365853659,1025
2015-10-01,69.69658536585368,1025
2015-11-01,70.3697560975609,1025
2015-12-01,94.66146341463401,1025
2016-01-01,67.70243902439026,1025
2016-02-01,54.76292682926828,1025
2016-03-01,62.75707317073169,1025
2016-04-01,60.83219512195119,1025
2016-05-01,61.22048780487804,1025
2016-06-01,56.82048780487806,1025
2016-07-01,66.34634146341465,1025
2016-08-01,74.30536585365851,1025
2016-09-01,72.46243902439028,1025
2016-10-01,77.15707317073168,1025
2016-11-01,63.01951219512197,1025
2016-12-01,83.3092682926829,1025
2017-01-01,51.94634146341468,1025
2017-02-01,53.868292682926814,1025
2017-03-01,56.27512195121951,1025
2017-04-01,61.91804878048782,1025
2017-05-01,60.69658536585365,1025
2017-06-01,62.84,1025
2017-07-01,75.52682926829266,1025
2017-08-01,77.57658536585365,1025
2017-09-01,83.13951219512192,1025
2017-10-01,71.04585365853653,1025
2017-11-01,70.28975609756105,1025
2017-12-01,93.23512195121953,1025
2018-01-01,55.98048780487807,1025
2018-02-01,59.62536585365853,1025
2018-03-01,70.23414634146339,1025
2018-04-01,59.72097560975609,1025
2018-05-01,57.944390243902426,1025
2018-06-01,61.35512195121947,1025
2018-07-01,68.88097560975604,1025
2018-08-01,79.82341463414629,1025
2018-09-01,66.76682926829261,1025
2018-10-01,73.36878048780486,1025
2018-11-01,71.19512195121949,1025
